@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,8-9,13-15,19-21,25-27,31,50-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6'

@attribute posX {'\'(-inf-1.5]\'','\'(1.5-7.5]\'','\'(7.5-9.5]\'','\'(9.5-11.5]\'','\'(11.5-14.5]\'','\'(14.5-inf)\''}
@attribute posY {'\'(-inf-1.5]\'','\'(1.5-2.5]\'','\'(2.5-3.5]\'','\'(3.5-4.5]\'','\'(4.5-5.5]\'','\'(5.5-6.5]\'','\'(6.5-9.5]\'','\'(9.5-inf)\''}
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute dghost1pacmanX {'\'(-inf-2.5]\'','\'(2.5-8.5]\'','\'(8.5-inf)\''}
@attribute dghost1pacmanY {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-inf)\''}
@attribute dGhost1 {'\'(-inf-10.5]\'','\'(10.5-16.5]\'','\'(16.5-inf)\''}
@attribute dghost2pacmanX {'\'(-inf-10.5]\'','\'(10.5-inf)\''}
@attribute dghost2pacmanY {'\'(-inf-4.5]\'','\'(4.5-11.5]\'','\'(11.5-14.5]\'','\'(14.5-inf)\''}
@attribute dGhost2 {'\'(-inf-4.5]\'','\'(4.5-11.5]\'','\'(11.5-15.5]\'','\'(15.5-24.5]\'','\'(24.5-25.5]\'','\'(25.5-inf)\''}
@attribute dghost3pacmanX {'\'(-inf-2.5]\'','\'(2.5-6.5]\'','\'(6.5-15.5]\'','\'(15.5-inf)\''}
@attribute dghost3pacmanY {'\'(-inf-0.5]\'','\'(0.5-2.5]\'','\'(2.5-inf)\''}
@attribute dGhost3 {'\'(-inf-3.5]\'','\'(3.5-5.5]\'','\'(5.5-7.5]\'','\'(7.5-15.5]\'','\'(15.5-27.5]\'','\'(27.5-inf)\''}
@attribute dghost4pacmanX {'\'(-inf-3.5]\'','\'(3.5-7.5]\'','\'(7.5-10.5]\'','\'(10.5-23.5]\'','\'(23.5-inf)\''}
@attribute dghost4pacmanY {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute dGhost4 {'\'(-inf-0]\'','\'(0-3.5]\'','\'(3.5-12.5]\'','\'(12.5-22.5]\'','\'(22.5-28.5]\'','\'(28.5-29.5]\'','\'(29.5-inf)\''}
@attribute dg1g2X {'\'(-inf-1.5]\'','\'(1.5-inf)\''}
@attribute dg1g2Y {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute dg1g2M {'\'(-inf-2.5]\'','\'(2.5-4.5]\'','\'(4.5-13.5]\'','\'(13.5-28.5]\'','\'(28.5-inf)\''}
@attribute dg1g3X {'\'(-inf-8.5]\'','\'(8.5-13.5]\'','\'(13.5-inf)\''}
@attribute dg1g3Y {'\'(-inf-1.5]\'','\'(1.5-inf)\''}
@attribute dg1g3M {'\'(-inf-7.5]\'','\'(7.5-19.5]\'','\'(19.5-22.5]\'','\'(22.5-inf)\''}
@attribute dg1g4X {'\'(-inf-6.5]\'','\'(6.5-22]\'','\'(22-inf)\''}
@attribute dg1g4Y {'\'(-inf-1.5]\'','\'(1.5-9.5]\'','\'(9.5-13.5]\'','\'(13.5-inf)\''}
@attribute dg1g4M {'\'(-inf-10.5]\'','\'(10.5-26.5]\'','\'(26.5-inf)\''}
@attribute dg2g3X {'\'(-inf-8.5]\'','\'(8.5-9.5]\'','\'(9.5-11.5]\'','\'(11.5-inf)\''}
@attribute dg2g3Y {'\'All\''}
@attribute dg2g3M {'\'(-inf-1.5]\'','\'(1.5-2.5]\'','\'(2.5-8.5]\'','\'(8.5-18.5]\'','\'(18.5-inf)\''}
@attribute dg2g4X {'\'(-inf-5.5]\'','\'(5.5-11.5]\'','\'(11.5-15.5]\'','\'(15.5-19]\'','\'(19-inf)\''}
@attribute dg2g4Y {'\'(-inf-3.5]\'','\'(3.5-4.5]\'','\'(4.5-9.5]\'','\'(9.5-11.5]\'','\'(11.5-inf)\''}
@attribute dg2g4M {'\'(-inf-3.5]\'','\'(3.5-5.5]\'','\'(5.5-24.5]\'','\'(24.5-inf)\''}
@attribute dg3g4X {'\'(-inf-5.5]\'','\'(5.5-7.5]\'','\'(7.5-10.5]\'','\'(10.5-18.5]\'','\'(18.5-inf)\''}
@attribute dg3g4Y {'\'(-inf-2.5]\'','\'(2.5-4.5]\'','\'(4.5-7.5]\'','\'(7.5-inf)\''}
@attribute dg3g4M {'\'(-inf-5.5]\'','\'(5.5-11.5]\'','\'(11.5-29]\'','\'(29-inf)\''}
@attribute DirPACMAN {North,South,East,West}

@data
'\'(14.5-inf)\'','\'(9.5-inf)\'',True,True,False,False,'\'(2.5-8.5]\'','\'(0.5-3.5]\'','\'(-inf-10.5]\'','\'(-inf-10.5]\'','\'(-inf-4.5]\'','\'(4.5-11.5]\'','\'(2.5-6.5]\'','\'(0.5-2.5]\'','\'(3.5-5.5]\'','\'(3.5-7.5]\'','\'(0.5-inf)\'','\'(3.5-12.5]\'','\'(-inf-1.5]\'','\'(0.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-8.5]\'','\'(-inf-1.5]\'','\'(-inf-7.5]\'','\'(-inf-6.5]\'','\'(-inf-1.5]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'','\'All\'','\'(2.5-8.5]\'','\'(-inf-5.5]\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(-inf-5.5]\'','\'(-inf-2.5]\'','\'(-inf-5.5]\'',North
'\'(14.5-inf)\'','\'(9.5-inf)\'',True,True,True,False,'\'(2.5-8.5]\'','\'(-inf-0.5]\'','\'(-inf-10.5]\'','\'(-inf-10.5]\'','\'(-inf-4.5]\'','\'(4.5-11.5]\'','\'(2.5-6.5]\'','\'(-inf-0.5]\'','\'(3.5-5.5]\'','\'(3.5-7.5]\'','\'(-inf-0.5]\'','\'(3.5-12.5]\'','\'(-inf-1.5]\'','\'(0.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-8.5]\'','\'(-inf-1.5]\'','\'(-inf-7.5]\'','\'(-inf-6.5]\'','\'(-inf-1.5]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'','\'All\'','\'(-inf-1.5]\'','\'(-inf-5.5]\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(-inf-5.5]\'','\'(-inf-2.5]\'','\'(-inf-5.5]\'',North
'\'(14.5-inf)\'','\'(9.5-inf)\'',True,True,False,False,'\'(2.5-8.5]\'','\'(0.5-3.5]\'','\'(-inf-10.5]\'','\'(-inf-10.5]\'','\'(-inf-4.5]\'','\'(4.5-11.5]\'','\'(2.5-6.5]\'','\'(0.5-2.5]\'','\'(5.5-7.5]\'','\'(3.5-7.5]\'','\'(0.5-inf)\'','\'(3.5-12.5]\'','\'(-inf-1.5]\'','\'(-inf-0.5]\'','\'(-inf-2.5]\'','\'(-inf-8.5]\'','\'(-inf-1.5]\'','\'(-inf-7.5]\'','\'(-inf-6.5]\'','\'(-inf-1.5]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'','\'All\'','\'(-inf-1.5]\'','\'(-inf-5.5]\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(-inf-5.5]\'','\'(-inf-2.5]\'','\'(-inf-5.5]\'',North
'\'(14.5-inf)\'','\'(9.5-inf)\'',False,True,False,True,'\'(2.5-8.5]\'','\'(0.5-3.5]\'','\'(-inf-10.5]\'','\'(-inf-10.5]\'','\'(-inf-4.5]\'','\'(4.5-11.5]\'','\'(2.5-6.5]\'','\'(0.5-2.5]\'','\'(5.5-7.5]\'','\'(3.5-7.5]\'','\'(0.5-inf)\'','\'(3.5-12.5]\'','\'(-inf-1.5]\'','\'(0.5-inf)\'','\'(-inf-2.5]\'','\'(-inf-8.5]\'','\'(-inf-1.5]\'','\'(-inf-7.5]\'','\'(-inf-6.5]\'','\'(-inf-1.5]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'','\'All\'','\'(-inf-1.5]\'','\'(-inf-5.5]\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(-inf-5.5]\'','\'(-inf-2.5]\'','\'(-inf-5.5]\'',North
'\'(1.5-7.5]\'','\'(3.5-4.5]\'',True,True,True,True,'\'(-inf-2.5]\'','\'(0.5-3.5]\'','\'(-inf-10.5]\'','\'(-inf-10.5]\'','\'(4.5-11.5]\'','\'(15.5-24.5]\'','\'(-inf-2.5]\'','\'(2.5-inf)\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(0.5-inf)\'','\'(3.5-12.5]\'','\'(1.5-inf)\'','\'(0.5-inf)\'','\'(13.5-28.5]\'','\'(-inf-8.5]\'','\'(1.5-inf)\'','\'(-inf-7.5]\'','\'(-inf-6.5]\'','\'(1.5-9.5]\'','\'(-inf-10.5]\'','\'(9.5-11.5]\'','\'All\'','\'(18.5-inf)\'','\'(5.5-11.5]\'','\'(-inf-3.5]\'','\'(5.5-24.5]\'','\'(-inf-5.5]\'','\'(7.5-inf)\'','\'(11.5-29]\'',North
'\'(1.5-7.5]\'','\'(4.5-5.5]\'',True,True,True,True,'\'(2.5-8.5]\'','\'(3.5-inf)\'','\'(-inf-10.5]\'','\'(-inf-10.5]\'','\'(4.5-11.5]\'','\'(15.5-24.5]\'','\'(-inf-2.5]\'','\'(2.5-inf)\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(0.5-inf)\'','\'(3.5-12.5]\'','\'(1.5-inf)\'','\'(0.5-inf)\'','\'(13.5-28.5]\'','\'(-inf-8.5]\'','\'(-inf-1.5]\'','\'(-inf-7.5]\'','\'(6.5-22]\'','\'(9.5-13.5]\'','\'(10.5-26.5]\'','\'(9.5-11.5]\'','\'All\'','\'(18.5-inf)\'','\'(5.5-11.5]\'','\'(-inf-3.5]\'','\'(5.5-24.5]\'','\'(-inf-5.5]\'','\'(7.5-inf)\'','\'(11.5-29]\'',North
'\'(1.5-7.5]\'','\'(5.5-6.5]\'',True,True,True,True,'\'(-inf-2.5]\'','\'(3.5-inf)\'','\'(-inf-10.5]\'','\'(10.5-inf)\'','\'(4.5-11.5]\'','\'(15.5-24.5]\'','\'(-inf-2.5]\'','\'(2.5-inf)\'','\'(-inf-3.5]\'','\'(3.5-7.5]\'','\'(0.5-inf)\'','\'(12.5-22.5]\'','\'(1.5-inf)\'','\'(0.5-inf)\'','\'(13.5-28.5]\'','\'(-inf-8.5]\'','\'(-inf-1.5]\'','\'(-inf-7.5]\'','\'(6.5-22]\'','\'(9.5-13.5]\'','\'(10.5-26.5]\'','\'(9.5-11.5]\'','\'All\'','\'(18.5-inf)\'','\'(5.5-11.5]\'','\'(-inf-3.5]\'','\'(5.5-24.5]\'','\'(-inf-5.5]\'','\'(7.5-inf)\'','\'(11.5-29]\'',North
'\'(1.5-7.5]\'','\'(6.5-9.5]\'',True,True,True,True,'\'(-inf-2.5]\'','\'(3.5-inf)\'','\'(-inf-10.5]\'','\'(10.5-inf)\'','\'(4.5-11.5]\'','\'(15.5-24.5]\'','\'(-inf-2.5]\'','\'(2.5-inf)\'','\'(-inf-3.5]\'','\'(3.5-7.5]\'','\'(0.5-inf)\'','\'(12.5-22.5]\'','\'(1.5-inf)\'','\'(0.5-inf)\'','\'(13.5-28.5]\'','\'(-inf-8.5]\'','\'(-inf-1.5]\'','\'(-inf-7.5]\'','\'(6.5-22]\'','\'(9.5-13.5]\'','\'(10.5-26.5]\'','\'(9.5-11.5]\'','\'All\'','\'(18.5-inf)\'','\'(-inf-5.5]\'','\'(-inf-3.5]\'','\'(5.5-24.5]\'','\'(-inf-5.5]\'','\'(7.5-inf)\'','\'(11.5-29]\'',North
'\'(1.5-7.5]\'','\'(6.5-9.5]\'',True,True,True,True,'\'(-inf-2.5]\'','\'(3.5-inf)\'','\'(-inf-10.5]\'','\'(10.5-inf)\'','\'(4.5-11.5]\'','\'(15.5-24.5]\'','\'(-inf-2.5]\'','\'(2.5-inf)\'','\'(-inf-3.5]\'','\'(3.5-7.5]\'','\'(0.5-inf)\'','\'(3.5-12.5]\'','\'(1.5-inf)\'','\'(0.5-inf)\'','\'(13.5-28.5]\'','\'(-inf-8.5]\'','\'(-inf-1.5]\'','\'(-inf-7.5]\'','\'(6.5-22]\'','\'(9.5-13.5]\'','\'(10.5-26.5]\'','\'(9.5-11.5]\'','\'All\'','\'(18.5-inf)\'','\'(-inf-5.5]\'','\'(-inf-3.5]\'','\'(3.5-5.5]\'','\'(-inf-5.5]\'','\'(7.5-inf)\'','\'(11.5-29]\'',North
'\'(1.5-7.5]\'','\'(6.5-9.5]\'',True,True,True,True,'\'(-inf-2.5]\'','\'(3.5-inf)\'','\'(-inf-10.5]\'','\'(10.5-inf)\'','\'(-inf-4.5]\'','\'(15.5-24.5]\'','\'(-inf-2.5]\'','\'(2.5-inf)\'','\'(-inf-3.5]\'','\'(3.5-7.5]\'','\'(0.5-inf)\'','\'(3.5-12.5]\'','\'(1.5-inf)\'','\'(0.5-inf)\'','\'(13.5-28.5]\'','\'(-inf-8.5]\'','\'(-inf-1.5]\'','\'(-inf-7.5]\'','\'(6.5-22]\'','\'(9.5-13.5]\'','\'(10.5-26.5]\'','\'(9.5-11.5]\'','\'All\'','\'(18.5-inf)\'','\'(5.5-11.5]\'','\'(-inf-3.5]\'','\'(5.5-24.5]\'','\'(-inf-5.5]\'','\'(7.5-inf)\'','\'(11.5-29]\'',North
